No.	Well	Dep  Dist		Code	AC 	CNL 	DEN 	GR 	PE 	RLLD
1446	60-1	3435.100	0.468	7	189.7750	11.3320	2.6160	74.2180	3.1840	141.3970
1447	60-1	3380.600	0.469	7	189.5880	13.0690	2.6010	77.0470	3.6020	144.4840
1448	57-09	3399.700	0.479	7	192.2140	26.9550	2.5120	99.1470	3.2240	230.8540
1449	68-02	3560.800	0.484	7	175.9400	7.2410	2.6080	114.7270	3.0500	426.4440
1450	48-5	3341.300	0.487	7	189.8880	19.0090	2.4950	116.0500	3.1240	61.3500
1451	S233	3441.300	0.514	7	180.1740	18.2090	2.4760	90.9580	3.2780	156.8650
1452	60-09	3529.200	0.542	7	193.6260	16.4070	2.5330	94.5230	2.5230	118.1430
1453	68-02	3561.300	0.544	7	173.1890	6.8990	2.6050	89.6330	3.2360	843.5150
1454	68-2	3546.300	0.546	7	178.6380	24.3060	2.5930	111.1990	3.6960	342.3760
1455	41-43	3351.800	0.548	7	171.5950	24.4220	2.5840	76.2820	3.4080	38.2830
1456	60-09	3481.500	0.548	7	168.1840	18.6220	2.5760	107.8800	2.8750	41.0830
1457	60-09	3529.100	0.549	7	182.8010	16.7150	2.5280	88.2120	2.3540	88.7670
1458	61-05	3384.300	0.553	7	171.6480	8.2280	2.5920	91.1910	2.6810	79.5410
1459	57-02	3464.800	0.561	7	189.2530	16.7640	2.6280	77.1560	3.1970	90.0850
1460	48-5	3307.300	0.580	7	197.3000	21.0810	2.5920	96.8230	2.9530	382.2770
1461	44-45	3238.400	0.603	7	199.1510	12.4850	2.5370	72.2660	3.3170	204.7510
1462	55-010	3418.900	0.612	7	179.6900	8.9390	2.6340	76.2440	3.1820	115.3450
1463	S233	3441.600	0.613	7	171.0950	16.2890	2.6160	74.1060	3.3050	244.5930
1464	60-09	3528.900	0.618	7	176.7410	16.0150	2.5420	83.4390	2.3180	94.1820
1465	57-04	3548.000	0.618	7	188.7780	16.2010	2.6300	119.9090	3.1710	164.0610
1466	68-02	3560.700	0.623	7	171.5970	6.7580	2.6120	105.0290	3.0190	465.0210
1467	66-1	3464.700	0.626	7	188.2610	9.7810	2.6180	92.6100	3.6670	109.8300
1468	71-2	3545.500	0.651	7	165.9760	17.7050	2.5910	102.7430	2.8880	94.9480
1469	48-5	3307.500	0.652	7	196.9180	23.6400	2.5980	87.6320	3.0050	483.3030
1470	56-04C3	3518.200	0.671	7	184.2510	17.2440	2.5960	137.6540	3.6300	47.3280
1471	49-43	3276.100	0.683	7	195.3110	21.4360	2.6120	96.3760	2.8110	81.3360
1472	48-5	3398.200	0.687	7	181.6870	13.0660	2.6380	66.2280	3.2270	240.3210
1473	49-43	3276.200	0.692	7	180.0060	19.8060	2.6430	106.2250	3.0220	97.1880
1474	41-43	3347.400	0.693	7	194.5030	26.4790	2.5600	123.8330	3.5730	80.1620
1475	61-05	3384.400	0.702	7	184.1100	11.6580	2.4960	131.8780	2.6470	89.4630
1476	66-1	3456.000	0.703	7	189.4380	13.3160	2.6390	111.3580	3.0750	94.6760
1477	56-04	3412.800	0.703	7	189.7050	8.7620	2.6380	96.4830	3.2190	84.8180
1478	41-43	3347.600	0.708	7	193.9150	27.1560	2.5660	122.6280	3.6060	81.2950
1479	47-10	3359.400	0.721	7	193.0120	9.8170	2.6240	73.5890	3.0860	529.1180
1480	55-010	3419.000	0.731	7	189.3780	10.6990	2.6420	86.2890	3.2360	91.9990
1481	Z28	3282.400	0.746	7	181.4490	30.4280	2.6300	93.2760	3.1510	317.6600
1482	68-02	3561.500	0.752	7	169.5480	6.6750	2.6070	80.6690	3.2610	985.2540
1483	Z97	3514.000	0.763	7	191.1700	10.6910	2.6370	92.6280	3.4550	130.8020
1484	47-38	3281.900	0.763	7	182.1920	16.1500	2.6440	67.4290	3.3140	136.2720
1485	43-23	3374.300	0.768	7	185.7320	8.8020	2.6180	68.3480	3.5230	1403.3720
1486	46-20	3483.800	0.769	7	195.4520	12.1100	2.6220	77.3470	3.1530	652.4430
1487	57-02	3465.000	0.773	7	196.0890	16.8880	2.6210	68.6300	3.1320	93.9610
1488	46-20	3484.000	0.775	7	189.1780	10.9710	2.6360	72.1100	3.1340	721.7570
1489	48-36	3249.300	0.794	7	181.5420	23.6020	2.4850	68.6480	3.6890	121.8190
1490	64-01	3424.700	0.799	7	190.5950	22.3400	2.6420	103.4150	3.0310	221.6110
1491	57-02	3491.600	0.832	7	163.8800	11.5270	2.6040	86.1910	3.0560	283.1900
1492	41-43	3347.500	0.840	7	198.2060	25.5380	2.5460	126.1150	3.5250	75.3470
1493	Z97	3513.700	0.841	7	198.4760	7.9010	2.6180	89.4510	3.3070	124.2670
